Date,Month,Quarter,Year,Period
12-13-17,12,Q4 2017,2017,201712
12-14-17,12,Q4 2017,2017,201712
12-15-17,12,Q4 2017,2017,201712
12-16-17,12,Q4 2017,2017,201712
12-17-17,12,Q4 2017,2017,201712
12-18-17,12,Q4 2017,2017,201712
12-19-17,12,Q4 2017,2017,201712
12-20-17,12,Q4 2017,2017,201712
12-21-17,12,Q4 2017,2017,201712
12-22-17,12,Q4 2017,2017,201712
12-23-17,12,Q4 2017,2017,201712
12-24-17,12,Q4 2017,2017,201712
12-25-17,12,Q4 2017,2017,201712
12-26-17,12,Q4 2017,2017,201712
12-27-17,12,Q4 2017,2017,201712
12-28-17,12,Q4 2017,2017,201712
12-29-17,12,Q4 2017,2017,201712
12-30-17,12,Q4 2017,2017,201712
12-31-17,12,Q4 2017,2017,201712
01-01-18,1,Q1 2018,2018,201801
01-02-18,1,Q1 2018,2018,201801
01-03-18,1,Q1 2018,2018,201801
01-04-18,1,Q1 2018,2018,201801
01-05-18,1,Q1 2018,2018,201801
01-06-18,1,Q1 2018,2018,201801
01-07-18,1,Q1 2018,2018,201801
01-08-18,1,Q1 2018,2018,201801
01-09-18,1,Q1 2018,2018,201801
01-10-18,1,Q1 2018,2018,201801
01-11-18,1,Q1 2018,2018,201801
01-12-18,1,Q1 2018,2018,201801
01-13-18,1,Q1 2018,2018,201801
01-14-18,1,Q1 2018,2018,201801
01-15-18,1,Q1 2018,2018,201801
01-16-18,1,Q1 2018,2018,201801
01-17-18,1,Q1 2018,2018,201801
01-18-18,1,Q1 2018,2018,201801
01-19-18,1,Q1 2018,2018,201801
01-20-18,1,Q1 2018,2018,201801
01-21-18,1,Q1 2018,2018,201801
01-22-18,1,Q1 2018,2018,201801
01-23-18,1,Q1 2018,2018,201801
01-24-18,1,Q1 2018,2018,201801
01-25-18,1,Q1 2018,2018,201801
01-26-18,1,Q1 2018,2018,201801
01-27-18,1,Q1 2018,2018,201801
01-28-18,1,Q1 2018,2018,201801
01-29-18,1,Q1 2018,2018,201801
01-30-18,1,Q1 2018,2018,201801
01-31-18,1,Q1 2018,2018,201801
02-01-18,2,Q1 2018,2018,201802
02-02-18,2,Q1 2018,2018,201802
02-03-18,2,Q1 2018,2018,201802
02-04-18,2,Q1 2018,2018,201802
02-05-18,2,Q1 2018,2018,201802
02-06-18,2,Q1 2018,2018,201802
02-07-18,2,Q1 2018,2018,201802
02-08-18,2,Q1 2018,2018,201802
02-09-18,2,Q1 2018,2018,201802
02-10-18,2,Q1 2018,2018,201802
02-11-18,2,Q1 2018,2018,201802
02-12-18,2,Q1 2018,2018,201802
02-13-18,2,Q1 2018,2018,201802
02-14-18,2,Q1 2018,2018,201802
02-15-18,2,Q1 2018,2018,201802
02-16-18,2,Q1 2018,2018,201802
02-17-18,2,Q1 2018,2018,201802
02-18-18,2,Q1 2018,2018,201802
02-19-18,2,Q1 2018,2018,201802
02-20-18,2,Q1 2018,2018,201802
02-21-18,2,Q1 2018,2018,201802
02-22-18,2,Q1 2018,2018,201802
02-23-18,2,Q1 2018,2018,201802
02-24-18,2,Q1 2018,2018,201802
02-25-18,2,Q1 2018,2018,201802
02-26-18,2,Q1 2018,2018,201802
02-27-18,2,Q1 2018,2018,201802
02-28-18,2,Q1 2018,2018,201802
03-01-18,3,Q1 2018,2018,201803
03-02-18,3,Q1 2018,2018,201803
03-03-18,3,Q1 2018,2018,201803
03-04-18,3,Q1 2018,2018,201803
03-05-18,3,Q1 2018,2018,201803
03-06-18,3,Q1 2018,2018,201803
03-07-18,3,Q1 2018,2018,201803
03-08-18,3,Q1 2018,2018,201803
03-09-18,3,Q1 2018,2018,201803
03-10-18,3,Q1 2018,2018,201803
03-11-18,3,Q1 2018,2018,201803
03-12-18,3,Q1 2018,2018,201803
03-13-18,3,Q1 2018,2018,201803
03-14-18,3,Q1 2018,2018,201803
03-15-18,3,Q1 2018,2018,201803
03-16-18,3,Q1 2018,2018,201803
03-17-18,3,Q1 2018,2018,201803
03-18-18,3,Q1 2018,2018,201803
03-19-18,3,Q1 2018,2018,201803
03-20-18,3,Q1 2018,2018,201803
03-21-18,3,Q1 2018,2018,201803
03-22-18,3,Q1 2018,2018,201803
03-23-18,3,Q1 2018,2018,201803
03-24-18,3,Q1 2018,2018,201803
03-25-18,3,Q1 2018,2018,201803
03-26-18,3,Q1 2018,2018,201803
03-27-18,3,Q1 2018,2018,201803
03-28-18,3,Q1 2018,2018,201803
03-29-18,3,Q1 2018,2018,201803
03-30-18,3,Q1 2018,2018,201803
03-31-18,3,Q1 2018,2018,201803
04-01-18,4,Q2 2018,2018,201804
04-02-18,4,Q2 2018,2018,201804
04-03-18,4,Q2 2018,2018,201804
04-04-18,4,Q2 2018,2018,201804
04-05-18,4,Q2 2018,2018,201804
04-06-18,4,Q2 2018,2018,201804
04-07-18,4,Q2 2018,2018,201804
04-08-18,4,Q2 2018,2018,201804
04-09-18,4,Q2 2018,2018,201804
04-10-18,4,Q2 2018,2018,201804
04-11-18,4,Q2 2018,2018,201804
04-12-18,4,Q2 2018,2018,201804
04-13-18,4,Q2 2018,2018,201804
04-14-18,4,Q2 2018,2018,201804
04-15-18,4,Q2 2018,2018,201804
04-16-18,4,Q2 2018,2018,201804
04-17-18,4,Q2 2018,2018,201804
04-18-18,4,Q2 2018,2018,201804
